district,year,loss_ha
Mungwi,2003,732.6996870237582
Nakonde,2003,89.81928408030791
Choma,2003,42.544931225585934
Gwembe,2003,10.119479058837891
Itezhi-tezhi,2003,130.20454040682924
Kalomo,2003,81.53455007853191
Kazungula,2003,142.828810326574
Livingstone,2003,0.6819661010742187
Mazabuka,2003,40.24171260986328
Monze,2003,13.91869974975586
Namwala,2003,22.275471978759764
Siavonga,2003,101.26049558105468
Sinazongwe,2003,46.67857582397461
Kaoma,2003,777.366207085296
Mongu,2003,116.93174791992188
Sesheke,2003,218.21235710702933
Chavuma,2003,23.86201568502987
Zambezi,2003,575.5383146016438
Kalabo,2003,685.145901661353
Lukulu,2003,1564.0949304388785
Senanga,2003,58.42510750557694
Shang'ombo,2003,113.58460304575004
Chibombo,2004,205.1095780753581
Kabwe,2004,10.138035620117188
Kapiri-Mposhi,2004,165.5071162380802
Mkushi,2004,1040.278040599796
Mumbwa,2004,515.6609815560853
Serenje,2004,951.4651395056632
Chililabombwe,2004,44.2368439820054
Chingola,2004,35.47956372455672
Kalulushi,2004,24.508652642822266
Kitwe,2004,22.23921789352118
Luanshya,2004,39.744628957064755
Lufwanyama,2004,154.42473267125746
Masaiti,2004,155.00647208840763
Mpongwe,2004,178.1590218376369
Mufulira,2004,44.63382183873794
Ndola,2004,5.405886016845703
Chadiza,2004,187.1818652466299
Chama,2004,491.1073414170209
Chipata,2004,536.1860877918199
Katete,2004,58.783321646154064
Lundazi,2004,858.6734743204993
Mambwe,2004,131.8495218322754
Nyimba,2004,205.5641855855306
Petauke,2004,143.80500889014152
Chienge,2004,1002.0452396683518
Kawambwa,2004,966.3911130919931
Mansa,2004,180.43140825238396
Milenge,2004,121.59269109427659
Mwense,2004,543.9845542866785
Nchelenge,2004,773.5847123968147
Samfya,2004,317.95365313526827
Chongwe,2004,188.60120187275007
Kafue,2004,46.886544903564456
Luangwa,2004,28.062523822021486
Lusaka,2004,0.0
Kabompo,2004,1903.0621817677695
Kasempa,2004,154.19984975585936
Mufumbwe,2004,194.777604988152
Mwinilunga,2004,3190.1675713706577
Solwezi,2004,2237.1142176293465
Chilubi,2004,405.369129486084
Chinsali,2004,29.30862391357422
Isoka,2004,176.74059904749254
Kaputa,2004,908.8132379102998
Kasama,2004,336.1184375431794
Luwingu,2004,397.2200421528895
Mbala,2004,138.39909756601372
Mpika,2004,340.0104263671875
Mporokoso,2004,406.0444837172564
Mpulungu,2004,252.16422518499638
Mungwi,2004,28.477990927159926
Nakonde,2004,2.0288296875
Choma,2004,21.696293505859376
Gwembe,2004,20.652573370361328
Itezhi-tezhi,2004,191.94986764576632
Kalomo,2004,10.197830950927735
Kazungula,2004,128.22696644282323
Livingstone,2004,0.0
Mazabuka,2004,14.186438995361328
Monze,2004,7.901299096679687
Namwala,2004,6.277383129882812
Siavonga,2004,35.4670543762207
Sinazongwe,2004,12.831489337158203
Kaoma,2004,703.1545559756289
Mongu,2004,256.0104563485418
Sesheke,2004,254.95181856615255
Chavuma,2004,154.45868350523705
Zambezi,2004,1219.9640270118864
Kalabo,2004,633.7247390004356
Lukulu,2004,2575.6715862183337
Senanga,2004,231.9408120218195
Shang'ombo,2004,524.8299592675303
Chibombo,2005,1379.0930613629987
Kabwe,2005,103.22178158334769
Kapiri-Mposhi,2005,1076.938740550968
Mkushi,2005,2016.8626739259005
Mumbwa,2005,1340.9670750702023
Serenje,2005,1014.4936626696539
Chililabombwe,2005,215.4009075609394
Chingola,2005,220.36082069462793
Kalulushi,2005,308.01248923698876
Kitwe,2005,580.2009244052065
Luanshya,2005,206.99593887551703
Lufwanyama,2005,1876.7952621907075
Masaiti,2005,523.5393797769465
Mpongwe,2005,1003.8103011960735
Mufulira,2005,245.31994124566768
Ndola,2005,165.85546799421724
Chadiza,2005,70.47052922806085
Chama,2005,896.5861035455922
Chipata,2005,1154.2787457872817
Katete,2005,147.99169319374235
Lundazi,2005,997.9158268488625
Mambwe,2005,366.9749548387236
Nyimba,2005,1412.2953967328958
Petauke,2005,1166.389891575018
Chienge,2005,855.3117220435527
Kawambwa,2005,632.6160112467927
Mansa,2005,683.4429476097437
Milenge,2005,289.15465724303
Mwense,2005,767.1793597883875
Nchelenge,2005,755.814282654766
Samfya,2005,887.1157453053912
Chongwe,2005,497.9254460203642
Kafue,2005,118.55901148114373
Luangwa,2005,137.44120532836914
Lusaka,2005,7.488488949620863
Kabompo,2005,679.0954702408375
Kasempa,2005,1273.5942005311974
Mufumbwe,2005,1061.5272619081743
Mwinilunga,2005,3779.8859551178575
Solwezi,2005,5896.0588898397755
Chilubi,2005,880.979418790355
Chinsali,2005,655.5379826812624
Isoka,2005,589.6959036311371
Kaputa,2005,1121.5103757100183
Kasama,2005,2957.3971111179007
Luwingu,2005,1658.0880471468338
Mbala,2005,378.1529507041543
Mpika,2005,1687.8140644836426
Mporokoso,2005,2105.852652454379
Mpulungu,2005,978.3101816354789
Mungwi,2005,716.2203716848097
Nakonde,2005,25.143833557128907
Choma,2005,118.59235667073568
Gwembe,2005,63.287720697021484
Itezhi-tezhi,2005,169.22709039601045
Kalomo,2005,76.58726516271254
Kazungula,2005,118.2776760689051
Livingstone,2005,0.5964543884277343
Mazabuka,2005,75.28539980351466
Monze,2005,77.6409561340332
Namwala,2005,12.046551483154296
Siavonga,2005,199.05445733750287
Sinazongwe,2005,135.01736892130532
Kaoma,2005,1844.514814721871
Mongu,2005,166.14976134825463
Sesheke,2005,379.4184073311121
Chavuma,2005,55.595967791748045
Zambezi,2005,773.1230430109481
Kalabo,2005,272.2681733321844
Lukulu,2005,1563.4515716018018
Senanga,2005,165.76832829206876
Shang'ombo,2005,731.5165399332204
Chibombo,2006,786.3370297976267
Kabwe,2006,48.28679842098461
Kapiri-Mposhi,2006,1106.3643928229599
Mkushi,2006,592.0247351938285
Mumbwa,2006,769.7762276765471
Serenje,2006,243.32929028404084
Chililabombwe,2006,89.0681614327225
Chingola,2006,93.7173964288689
Kalulushi,2006,275.2791890196797
Kitwe,2006,98.39468557413737
Luanshya,2006,49.53702634282131
Lufwanyama,2006,597.8637617327761
Masaiti,2006,408.8086930607814
Mpongwe,2006,471.58400352304506
Mufulira,2006,65.98639329618565
Ndola,2006,180.38919699525124
Chadiza,2006,315.26173063529217
Chama,2006,306.45373109647863
Chipata,2006,471.8624234928625
Katete,2006,54.572014090624045
Lundazi,2006,670.249537915015
Mambwe,2006,115.50298206593233
Nyimba,2006,62.89725617019953
Petauke,2006,7.560754479980469
Chienge,2006,377.5927704225787
Kawambwa,2006,1943.3315696898694
Mansa,2006,416.3044140711885
Milenge,2006,83.88201136362113
Mwense,2006,1136.0083541877777
Nchelenge,2006,360.3318346868298
