,district,year,total_pop,urban_pop,pct_urban
560,Kaoma,2005,100732.4765625,288.4314270019531,0.002863340968520657
561,Limulunga,2005,47221.12890625,1317.910400390625,0.02790933700477863
562,Luampa,2005,46435.77734375,46.03068161010742,0.0009912762150907095
563,Lukulu,2005,49227.6484375,3.4392433166503906,6.986405862991595e-05
564,Mitete,2005,24728.87890625,0.0,0.0
565,Mongu,2005,141147.0,10775.0244140625,0.0763390253711556
566,Mulobezi,2005,26076.884765625,9.375609397888184,0.00035953717179619836
567,Mwandi,2005,30974.298828125,0.0,0.0
568,Nalolo,2005,51788.3203125,118.49805450439453,0.0022881231480255788
569,Nkeyema,2005,39156.3828125,0.0,0.0
570,Senanga,2005,67300.640625,19.445388793945312,0.0002889331901355183
571,Sesheke,2005,33954.80859375,0.0,0.0
572,Shang'ombo,2005,33894.53125,0.0,0.0
573,Sikongo,2005,39554.51171875,4.550760269165039,0.00011505034625437798
574,Sioma,2005,49767.09765625,92.96250915527344,0.001867951187296106
575,Chibombo,2006,331502.59375,15162.5087890625,0.04573873349690043
576,Chisamba,2006,105869.6640625,6.420866012573242,6.0648780455019614e-05
577,Chitambo,2006,78591.828125,0.0,0.0
578,Itezhi-tezhi,2006,65677.5625,48.418800354003906,0.000737219813144008
579,Kabwe,2006,202059.046875,36896.54296875,0.1826027764625424
580,Kapiri Mposhi,2006,183874.53125,3138.53515625,0.0170688954849477
581,Luano,2006,24267.833984375,3.8602466583251953,0.0001590684467682876
582,Mkushi,2006,114439.1171875,189.5029754638672,0.001655928323471603
583,Mumbwa,2006,161174.15625,4015.322021484375,0.024912939610840214
584,Ngabwe,2006,48895.82421875,0.0,0.0
585,Serenje,2006,81000.1328125,345.5909729003906,0.004266548225301907
586,Chililabombwe,2006,83210.546875,14352.5908203125,0.17248523605875532
587,Chingola,2006,207005.53125,85121.078125,0.4112019500686651
588,Kalulushi,2006,66264.7734375,5081.19873046875,0.07668023999601033
589,Kitwe,2006,517865.46875,178358.0,0.3444099109958275
590,Luanshya,2006,158284.75,27605.587890625,0.17440459608790487
591,Lufwanyama,2006,72240.796875,28.336894989013672,0.0003922561241682548
592,Masaiti,2006,103617.796875,0.0,0.0
593,Mpongwe,2006,83489.8671875,0.0,0.0
594,Mufulira,2006,138041.890625,41571.390625,0.3011505452205914
595,Ndola,2006,428072.5625,157489.796875,0.36790444114249904
596,Chadiza,2006,68212.8125,382.2176513671875,0.005603311714601821
597,Chasefu,2006,89919.2734375,0.0,0.0
598,Chipangali,2006,111275.7421875,0.0,0.0
599,Chipata,2006,222978.296875,6065.7568359375,0.027203350823591224
