district,year,mean_start_day,start_date
Kasama,2002,312.2734375,November 08
Lunte District,2002,309.3157894736842,November 05
Lupososhi,2002,310.4130434782609,November 06
Luwingu,2002,311.17543859649123,November 07
Mbala,2002,311.44736842105266,November 07
Mporokoso,2002,308.5744680851064,November 04
Mpulungu,2002,309.7886178861789,November 05
Mungwi,2002,313.0173913043478,November 09
Nsama,2002,308.7692307692308,November 04
Senga Hill,2002,312.63793103448273,November 08
Chikankanta,2002,347.1666666666667,December 13
Choma,2002,346.7118644067797,December 12
Gwembe,2002,347.4166666666667,December 13
Kalomo,2002,346.05,December 12
Kazungula,2002,289.8125,October 16
Livingstone,2002,163.44444444444446,June 12
Mazabuka,2002,347.5217391304348,December 13
Monze,2002,347.01666666666665,December 13
Namwala,2002,346.8636363636364,December 12
Pemba,2002,347.0,December 13
Siavonga,2002,347.95652173913044,December 13
Sinazongwe,2002,346.9836065573771,December 12
Zimba,2002,346.1641791044776,December 12
Kalabo,2002,325.5169491525424,November 21
Kaoma,2002,321.7818181818182,November 17
Limulunga,2002,310.0681818181818,November 06
Luampa,2002,335.6746031746032,December 01
Lukulu,2002,311.3931623931624,November 07
Mitete,2002,308.60526315789474,November 04
Mongu,2002,309.74666666666667,November 05
Mulobezi,2002,344.22,December 10
Mwandi,2002,323.4805194805195,November 19
Nalolo,2002,321.2542372881356,November 17
Nkeyema,2002,331.02222222222224,November 27
Senanga,2002,327.8396946564886,November 23
Sesheke,2002,344.1726618705036,December 10
Shang'ombo,2002,333.0824742268041,November 29
Sikongo,2002,332.5760869565217,November 28
Sioma,2002,338.8,December 04
Chibombo,2003,331.1363636363636,November 27
Chisamba,2003,331.95238095238096,November 27
Chitambo,2003,335.2957746478873,December 01
Itezhi-tezhi,2003,330.0959595959596,November 26
Kabwe,2003,331.1666666666667,November 27
Kapiri Mposhi,2003,331.1834862385321,November 27
Luano,2003,334.4957264957265,November 30
Mkushi,2003,333.99,November 29
Mumbwa,2003,328.71308016877634,November 24
Ngabwe,2003,328.7625,November 24
Serenje,2003,336.97037037037035,December 02
Chililabombwe,2003,327.125,November 23
Chingola,2003,323.0,November 19
Kalulushi,2003,326.6666666666667,November 22
Kitwe,2003,326.93333333333334,November 22
Luanshya,2003,328.3333333333333,November 24
Lufwanyama,2003,321.31007751937983,November 17
Masaiti,2003,329.52272727272725,November 25
Mpongwe,2003,326.0,November 22
Mufulira,2003,327.0,November 23
Ndola,2003,328.15384615384613,November 24
Chadiza,2003,337.5625,December 03
Chasefu,2003,334.11538461538464,November 30
Chipangali,2003,336.83870967741933,December 02
Chipata,2003,336.95,December 02
Kasenengwa,2003,336.40909090909093,December 02
Katete,2003,336.53333333333336,December 02
Lumezi,2003,335.1803278688525,December 01
Lundazi,2003,334.6470588235294,November 30
Mambwe,2003,335.7887323943662,December 01
Nyimba,2003,339.20472440944883,December 05
Petauke,2003,335.9886363636364,December 01
Sinda,2003,336.2121212121212,December 02
Vubwi,2003,337.45454545454544,December 03
Chembe,2003,327.5833333333333,November 23
Chiengi,2003,315.89130434782606,November 11
Chifunabuli,2003,329.8918918918919,November 25
Chipili,2003,318.8301886792453,November 14
Kawambwa,2003,305.82978723404256,November 01
Lunga,2003,330.0,November 26
Mansa,2003,327.5217391304348,November 23
Milengi,2003,328.3333333333333,November 24
Mwansabombwe,2003,300.75,October 27
Mwense,2003,316.5769230769231,November 12
Nchelenge,2003,294.9183673469388,October 21
Samfya,2003,329.45,November 25
Chilanga,2003,332.2352941176471,November 28
Chirundu,2003,334.0,November 30
Chongwe,2003,333.0,November 29
Kafue,2003,333.719298245614,November 29
Luangwa,2003,335.125,December 01
Lusaka,2003,332.0,November 28
Rufunsa,2003,334.9391304347826,November 30
Shibuyunji,2003,331.35,November 27
Chama,2003,334.20283018867923,November 30
Chinsali,2003,332.9230769230769,November 28
Isoka,2003,334.0483870967742,November 30
Kanchibiya,2003,332.6601941747573,November 28
Lavushimanda,2003,333.8323699421965,November 29
Mafinga,2003,334.74468085106383,November 30
Mpika,2003,333.5145631067961,November 29
Nakonde,2003,333.2549019607843,November 29
Shiwamg'andu,2003,332.74311926605503,November 28
Chavuma,2003,311.0,November 07
Ikelenge,2003,290.3333333333333,October 17
Kabompo,2003,301.1058823529412,October 28
Kalumbila,2003,295.11464968152865,October 22
Kasempa,2003,310.8641509433962,November 06
Manyinga,2003,295.3440860215054,October 22
Mufumbwe,2003,302.26008968609864,October 29
Mushindano,2003,308.3859649122807,November 04
Mwinilunga,2003,293.81900452488685,October 20
Solwezi,2003,296.51020408163265,October 23
Zambezi,2003,311.3786982248521,November 07
Chilubi,2003,331.43548387096774,November 27
Kaputa,2003,322.66129032258067,November 18
Kasama,2003,332.2890625,November 28
Lunte District,2003,331.17894736842106,November 27
Lupososhi,2003,329.6304347826087,November 25
Luwingu,2003,331.4035087719298,November 27
Mbala,2003,339.2894736842105,December 05
Mporokoso,2003,319.8723404255319,November 15
Mpulungu,2003,335.1707317073171,December 01
Mungwi,2003,333.1391304347826,November 29
Nsama,2003,333.032967032967,November 29
Senga Hill,2003,336.6551724137931,December 02
Chikankanta,2003,332.8611111111111,November 28
Choma,2003,334.93220338983053,November 30
Gwembe,2003,332.7916666666667,November 28
Kalomo,2003,335.82,December 01
Kazungula,2003,285.6205357142857,October 12
Livingstone,2003,52.44444444444444,February 21
Mazabuka,2003,331.69565217391306,November 27
Monze,2003,331.21666666666664,November 27
Namwala,2003,331.3787878787879,November 27
Pemba,2003,332.4,November 28
Siavonga,2003,333.39130434782606,November 29
Sinazongwe,2003,193.8852459016393,July 12
Zimba,2003,167.16417910447765,June 16
Kalabo,2003,312.3220338983051,November 08
Kaoma,2003,309.4,November 05
Limulunga,2003,314.6363636363636,November 10
Luampa,2003,317.031746031746,November 13
Lukulu,2003,309.5811965811966,November 05
Mitete,2003,311.30263157894734,November 07
Mongu,2003,319.32,November 15
Mulobezi,2003,325.12,November 21
Mwandi,2003,203.4675324675325,July 22
Nalolo,2003,321.64406779661016,November 17
Nkeyema,2003,315.5111111111111,November 11
Senanga,2003,326.80152671755724,November 22
Sesheke,2003,291.58992805755395,October 18
Shang'ombo,2003,322.50515463917526,November 18
Sikongo,2003,313.35869565217394,November 09
Sioma,2003,330.55,November 26
Chibombo,2004,322.3636363636364,November 18
Chisamba,2004,323.73015873015873,November 19
Chitambo,2004,326.83098591549293,November 22
Itezhi-tezhi,2004,334.76262626262627,November 30
