district,year,mean_start_day
Mwansabombwe,2009,306.5625
Mwense,2009,306.4230769230769
Nchelenge,2009,306.9183673469388
Samfya,2009,303.2
Chilanga,2009,314.3529411764706
Chirundu,2009,317.77272727272725
Chongwe,2009,315.57142857142856
Kafue,2009,315.96491228070175
Luangwa,2009,319.1666666666667
Lusaka,2009,314.0
Rufunsa,2009,317.495652173913
Shibuyunji,2009,314.0
Chama,2009,316.5660377358491
Chinsali,2009,313.2307692307692
Isoka,2009,313.5967741935484
Kanchibiya,2009,313.252427184466
Lavushimanda,2009,315.5433526011561
Mafinga,2009,320.0851063829787
Mpika,2009,315.8883495145631
Nakonde,2009,312.5686274509804
Shiwamg'andu,2009,311.61467889908255
Chavuma,2009,309.01851851851853
Ikelenge,2009,282.25
Kabompo,2009,308.78823529411767
Kalumbila,2009,302.4458598726115
Kasempa,2009,308.6716981132075
Manyinga,2009,306.81720430107526
Mufumbwe,2009,308.19282511210764
Mushindano,2009,302.64912280701753
Mwinilunga,2009,287.43891402714934
Solwezi,2009,301.68027210884355
Zambezi,2009,309.27810650887574
Chilubi,2009,311.5
Kaputa,2009,308.1290322580645
Kasama,2009,311.21875
Lunte District,2009,307.2526315789474
Lupososhi,2009,307.0652173913044
Luwingu,2009,308.859649122807
Mbala,2009,311.7105263157895
Mporokoso,2009,305.2340425531915
Mpulungu,2009,309.7560975609756
Mungwi,2009,311.9217391304348
Nsama,2009,308.2087912087912
Senga Hill,2009,310.6551724137931
Chikankanta,2009,315.52777777777777
Choma,2009,314.7457627118644
Gwembe,2009,315.4791666666667
Kalomo,2009,313.57
Kazungula,2009,310.9732142857143
Livingstone,2009,310.0
Mazabuka,2009,314.0652173913044
Monze,2009,313.8
Namwala,2009,313.7121212121212
Pemba,2009,314.28
Siavonga,2009,316.82608695652175
Sinazongwe,2009,316.9836065573771
Zimba,2009,311.8805970149254
Kalabo,2009,310.9491525423729
Kaoma,2009,311.3181818181818
Limulunga,2009,310.22727272727275
Luampa,2009,312.8492063492063
Lukulu,2009,309.4957264957265
Mitete,2009,310.0
Mongu,2009,310.8933333333333
Mulobezi,2009,312.00666666666666
Mwandi,2009,298.94805194805195
Nalolo,2009,312.8135593220339
Nkeyema,2009,312.9555555555556
Senanga,2009,312.206106870229
Sesheke,2009,295.7841726618705
Shang'ombo,2009,319.70103092783506
Sikongo,2009,315.2173913043478
Sioma,2009,315.91
Chibombo,2010,324.2
Chisamba,2010,327.7936507936508
Chitambo,2010,327.26056338028167
Itezhi-tezhi,2010,316.3181818181818
Kabwe,2010,326.8888888888889
Kapiri Mposhi,2010,326.56880733944956
Luano,2010,327.4188034188034
Mkushi,2010,327.0
Mumbwa,2010,316.9957805907173
Ngabwe,2010,319.55
Serenje,2010,327.0
Chililabombwe,2010,316.25
Chingola,2010,316.0
Kalulushi,2010,316.0
Kitwe,2010,316.0
Luanshya,2010,316.77777777777777
Lufwanyama,2010,316.0
Masaiti,2010,324.84090909090907
Mpongwe,2010,317.1607142857143
Mufulira,2010,316.25
Ndola,2010,320.46153846153845
Chadiza,2010,327.4375
Chasefu,2010,329.7307692307692
Chipangali,2010,328.7096774193548
Chipata,2010,327.85
Kasenengwa,2010,327.09090909090907
Katete,2010,327.0
Lumezi,2010,329.0
Lundazi,2010,329.0
Mambwe,2010,327.7887323943662
Nyimba,2010,327.3622047244094
Petauke,2010,327.1363636363636
Sinda,2010,327.0
Vubwi,2010,328.09090909090907
Chembe,2010,316.0
Chiengi,2010,289.0
Chifunabuli,2010,316.4864864864865
Chipili,2010,312.6981132075472
Kawambwa,2010,299.36170212765956
Lunga,2010,321.0232558139535
Mansa,2010,316.0869565217391
Milengi,2010,316.97333333333336
Mwansabombwe,2010,292.625
Mwense,2010,311.4230769230769
Nchelenge,2010,289.0
Samfya,2010,319.8
Chilanga,2010,327.7647058823529
Chirundu,2010,328.0
Chongwe,2010,328.0
Kafue,2010,328.0
Luangwa,2010,328.0
Lusaka,2010,328.0
Rufunsa,2010,328.0
Shibuyunji,2010,327.05
Chama,2010,330.3490566037736
Chinsali,2010,329.05128205128204
Isoka,2010,330.1774193548387
Kanchibiya,2010,328.68932038834953
Lavushimanda,2010,327.71098265895955
Mafinga,2010,332.78723404255317
Mpika,2010,329.0
Nakonde,2010,328.72549019607845
Shiwamg'andu,2010,329.0
Chavuma,2010,300.1296296296296
Ikelenge,2010,290.375
Kabompo,2010,303.5882352941176
