NAME_2,mean,min,max,std,median
Choma,244578.76205287714,30142.130859375,642361.0,117524.90231730448,230643.1875
Gwembe,260674.05702436494,0.0,602261.875,114472.89974889744,256894.46875
Kalomo,534419.0638297872,0.0,1526617.25,408630.49410626746,430660.4375
Kazungula,762697.6008750342,0.0,1802586.5,453430.9781680718,736790.375
Livingstone,112582.50653983353,0.0,296866.96875,57844.57868731036,94399.5
Mazabuka,270589.2464146023,0.0,802519.9375,205940.1692868178,212450.8125
Monze,209656.8236493374,0.0,559465.125,133295.83468759325,182971.609375
Namwala,389119.5977075245,0.0,1051806.5,217633.5469393992,351409.1875
Pemba,191526.14345991562,26000.0,538917.75,105499.47255196441,162616.265625
Siavonga,237154.87781036168,0.0,453345.28125,115550.39691963031,247421.34375
Sinazongwe,286075.4078454563,0.0,814973.625,172865.64335940866,255178.734375
Zimba,470179.34401220444,40284.26953125,984799.3125,262783.7364154863,436141.1875
Kalabo,1027441.7719975614,0.0,2471932.0,616592.0237609816,931415.125
Kaoma,411287.79182156135,0.0,1082922.75,230000.78637577195,356475.1875
Limulunga,485483.7877467316,146133.484375,996361.4375,204930.77989411168,460610.28125
Luampa,663339.8655924543,47949.75,1452763.5,351062.9213366168,648511.75
Lukulu,493511.71397987584,0.0,1346677.0,339542.19417873136,406149.3125
Mitete,1294227.9647798743,4828.42724609375,2509184.25,680560.7324689509,1176586.625
Mongu,628120.0633245383,115892.546875,1480050.375,343003.7864507936,578392.0
Mulobezi,1100249.031349539,233264.546875,2085638.375,434227.7459474924,1048144.125
Mwandi,546178.8699551569,17071.068359375,1484387.125,338414.5520222424,510627.0625
Nalolo,755654.1631681455,16417.708984375,1615880.875,427761.46113423014,724169.25
Nkeyema,400196.8842105263,51535.53515625,1057166.5,205093.84427937467,383914.75
Senanga,850476.847054552,0.0,1915675.875,517622.5816021744,852244.0
Sesheke,701995.4329031676,0.0,1661763.75,414585.6560543947,690744.375
Shang'ombo,505678.11583011586,0.0,1506714.5,297669.78939982736,465665.0625
Sikongo,1013447.502292076,221485.296875,1844413.625,381148.45185304055,1020710.625
Sioma,689815.2624827066,36693.28515625,1603162.5,412227.1850172351,647109.5
