district,year,forest_cover_ha,loss_m2,percent_loss_annual,forest_2000_m2,population,pop_growth,district_area_km2,pop_density,mean_growing_spei,median_growing_spei,n_months,province,province_avg_start_date,province_avg_end_date,percent_forest_2000,mean_spei_lag1,mean_spei_lag2,mean_spei_lag3,mean_spei_lag4,mean_spei_lag5,pop_density_c,pop_density_c_scaled,pop_density_wi,spei4_x_popdens
Kafue,2008,89541.14768952681,2136590.0989224305,0.2380474291563774,903117331.0161568,111440.9140625,0.0235009102091303,4663.432864791719,23.896755307418207,0.9583049714565276,0.84712815284729,5.0,Lusaka,November 07,March 31,19365934.006138895,0.7622944436967373,0.0332153052091598,-0.745428591966629,-0.4884022861719131,0.0012755997478962,-55.398719568290076,-0.5539871956829008,-0.024336318145036118,0.011885913419042651
Kafue,2009,88844.30952024974,6968381.692770805,0.778232340390904,903117331.0161568,113603.2578125,0.0194034997665872,4663.432864791719,24.36043599344789,1.8675524195035296,1.85430371761322,6.0,Lusaka,November 07,March 31,19365934.006138895,0.9583049714565276,0.7622944436967373,0.0332153052091598,-0.745428591966629,-0.4884022861719131,-54.935038882260386,-0.5493503888226039,-0.019699511284739235,0.014684578959413887
Kafue,2010,88828.29178103466,160177.3921508789,0.0180289984823812,903117331.0161568,117160.6953125,0.0313145729136701,4663.432864791719,25.123272642573507,2.2481003999710083,1.940053939819336,5.0,Lusaka,November 07,March 31,19365934.006138895,1.8675524195035296,0.9583049714565276,0.7622944436967373,0.0332153052091598,-0.745428591966629,-54.17220223313477,-0.5417220223313477,-0.012071144793483035,-0.0004009467585394993
Kafue,2011,88763.48738278037,648043.9825427486,0.072954682517165,903117331.0161568,119707.28125,0.0217358383774315,4663.432864791719,25.669348036244635,0.780644878745079,0.8078473508358002,4.0,Lusaka,November 07,March 31,19365934.006138895,2.2481003999710083,1.8675524195035296,0.9583049714565276,0.7622944436967373,0.0332153052091598,-53.626126839463645,-0.5362612683946364,-0.006610390856771731,-0.0050390642207808044
Kafue,2012,88670.61166816673,928757.1461363548,0.1046327914237097,903117331.0161568,121236.4921875,0.0127745858191061,4663.432864791719,25.997263325654146,0.8147994756698609,0.7539486289024353,5.0,Lusaka,November 07,March 31,19365934.006138895,0.780644878745079,2.2481003999710083,1.8675524195035296,0.9583049714565276,0.7622944436967373,-53.298211550054134,-0.5329821155005413,-0.0033312379626766475,-0.0031923419007377457
Kafue,2013,88565.6606055542,1049510.6261252011,0.1183605939308053,903117331.0161568,124864.59375,0.0299258209886912,4663.432864791719,26.77525277413354,0.3942506849765778,0.2954771220684051,5.0,Lusaka,November 07,March 31,19365934.006138895,0.8147994756698609,0.780644878745079,2.2481003999710083,1.8675524195035296,0.9583049714565276,-52.52022210157474,-0.5252022210157474,0.004448656522117234,0.008308099251420197
Kafue,2014,88412.85382886983,1528067.766843788,0.1725350159865412,903117331.0161568,129745.9765625,0.0390934104368556,4663.432864791719,27.821988720383303,-0.0743309302876392,-0.1263081673532723,6.0,Lusaka,November 07,March 31,19365934.006138895,0.3942506849765778,0.8147994756698609,0.780644878745079,2.2481003999710083,1.8675524195035296,-51.47348615532498,-0.5147348615532498,0.014916015984614894,0.033532701500986695
Kafue,2015,88246.25646749421,1665973.6137561274,0.1884311547029974,903117331.0161568,130688.0078125,0.0072605815992006,4663.432864791719,28.023992539739684,-0.2052923794835805,-0.2082453221082687,4.0,Lusaka,November 07,March 31,19365934.006138895,-0.0743309302876392,0.3942506849765778,0.8147994756698609,0.780644878745079,2.2481003999710083,-51.2714823359686,-0.512714823359686,0.016936054178178672,0.013221043960344379
Kafue,2016,88144.52077034781,1017356.97146403,0.1152861336207249,903117331.0161568,134469.578125,0.0289358631736544,4663.432864791719,28.834890953449108,0.2202511087059974,0.1482349932193756,5.0,Lusaka,November 07,March 31,19365934.006138895,-0.2052923794835805,-0.0743309302876392,0.3942506849765778,0.8147994756698609,0.780644878745079,-50.460583922259175,-0.5046058392225917,0.02504503831527294,0.020406684087415965
Kafue,2017,87476.42387952724,6680968.908205758,0.7579562348081044,903117331.0161568,137148.9375,0.0199253943706829,4663.432864791719,29.409437527332223,0.698330512829125,0.8328628540039062,5.0,Lusaka,November 07,March 31,19365934.006138895,0.2202511087059974,-0.2052923794835805,-0.0743309302876392,0.3942506849765778,0.8147994756698609,-49.88603734837606,-0.49886037348376056,0.030790504054104106,0.012139177314104639
