district,year,forest_cover_ha,loss_m2,percent_loss_annual
Mporokoso,2002,729896.8708961604,1723764.7857385974,0.023610976519516554
Mporokoso,2003,729390.9176629218,5059532.332386212,0.06931845489588367
Mporokoso,2004,728984.8731792045,4060444.837172564,0.05566897995087244
Mporokoso,2005,726879.0205267501,21058526.524543792,0.28887467078301127
Mporokoso,2006,726577.255981136,3017645.456142051,0.04151509908698758
Mporokoso,2007,724893.9263950314,16833295.861046165,0.23167936681853973
Mporokoso,2008,723310.3800241442,15835463.708871398,0.21845215047700445
Mporokoso,2009,722636.576581272,6738034.428721948,0.09315550578020229
Mporokoso,2010,720463.7070747915,21728695.064804494,0.30068634454681187
Mporokoso,2011,718914.3363802762,15493706.945151895,0.21505187274538853
Mporokoso,2012,717441.5310618924,14728053.183838848,0.20486520352333482
Mporokoso,2013,714694.5767035139,27469543.58378547,0.3828819826352612
Mporokoso,2014,710662.2095348681,40323671.68645737,0.5642084465289761
Mporokoso,2015,708574.1170886985,20880924.461695295,0.2938234815576019
Mporokoso,2016,703517.7548010782,50563622.87620371,0.7135968088130744
Mporokoso,2017,696324.2344302951,71935203.70783116,1.0225072958986097
Mporokoso,2018,689495.0129737835,68292214.5651147,0.980753091567877
Mporokoso,2019,683377.1206852179,61178922.88565627,0.8873004406774796
Mporokoso,2020,676315.9660399331,70611546.45284878,1.0332734930026195
Mporokoso,2021,668049.4484498057,82665175.90127409,1.222286328464307
Mporokoso,2022,659977.3907008907,80720577.4891513,1.2083024344449598
Mpulungu,2001,634567.0967576362,6171.671203613281,9.725788230608095e-05
Mpulungu,2002,634475.8770453846,912197.1225152707,0.014375109065317191
Mpulungu,2003,634194.9962899318,2808807.5545278513,0.04426972964847543
Mpulungu,2004,633942.8320647468,2521642.2518499633,0.03976130790374695
Mpulungu,2005,632964.5218831113,9783101.816354789,0.15432151483582998
Mpulungu,2006,632781.2944165318,1832274.6657954198,0.028947509733156632
Mpulungu,2007,631863.5493876203,9177450.28911444,0.14503352690879848
Mpulungu,2008,631006.4549610554,8570944.265650133,0.13564549298589523
Mpulungu,2009,631005.5731980365,8817.630187988281,0.00013973914400816216
Mpulungu,2010,629671.3892912922,13341839.067443848,0.21143773738519114
Mpulungu,2011,627968.70882167,17026804.696221564,0.2704077870742321
Mpulungu,2012,627036.0888057889,9326200.158811562,0.14851377190929438
Mpulungu,2013,625552.5121796367,14835766.261521522,0.23660147360539857
Mpulungu,2014,623928.8766726976,16236355.06939123,0.25955223187927534
Mpulungu,2015,622872.7592574947,10561174.152029479,0.16926887898425785
Mpulungu,2016,620730.0364432646,21427228.14230191,0.3440065057242923
Mpulungu,2017,618174.7815312105,25552549.120540604,0.41165317642682075
Mpulungu,2018,615621.8754062792,25529061.2493121,0.4129748092614998
Mpulungu,2019,613157.9786145294,24638967.9174989,0.4002289213851998
Mpulungu,2020,610822.4519491815,23355266.65347948,0.3809012924573245
Mpulungu,2021,607646.2874692244,31761644.79957012,0.5199816198343113
Mpulungu,2022,604278.5833252345,33677041.43989928,0.5542211338138872
Mufulira,2001,42736.844571317386,6799587.179690849,1.5661187983797773
Mufulira,2002,42203.45448159961,5333900.897177782,1.2480801871735758
Mufulira,2003,41921.364126228946,2820903.553706629,0.6684058422128744
Mufulira,2004,41876.73030439021,446338.21838737937,0.10647034696757848
Mufulira,2005,41631.41036314454,2453199.412456677,0.5858144593966764
Mufulira,2006,41565.42396984835,659863.9329618566,0.15850146012493035
Mufulira,2007,41565.162047350794,2619.2249755859375,0.000630145136372464
Mufulira,2008,41447.15752206311,1180045.2528767902,0.28390247860275136
Mufulira,2009,41257.40592408448,1897515.979786353,0.45781570877961153
Mufulira,2010,37627.3962064653,36300097.17619174,8.79844390677048
Mufulira,2011,37624.188612025915,32075.94439386106,0.008524625041248438
Mufulira,2012,36370.29235861221,12538962.534137081,3.3326864968269962
Mufulira,2013,35917.676791625934,4526155.669862755,1.2444650225064784
Mufulira,2014,35424.440954019374,4932358.376065602,1.373239812998028
Mufulira,2015,34986.542472981324,4378984.810380524,1.2361478946313957
Mufulira,2016,34246.39511602418,7401473.5695714615,2.1155201532953183
Mufulira,2017,33245.28537568229,10011097.403418927,2.923255825759789
Mufulira,2018,32569.870062509417,6754153.131728707,2.0316123189813626
Mufulira,2019,32029.404364661586,5404656.978478286,1.6594039116844645
Mufulira,2020,31105.12201817599,9242823.464855958,2.8857306741094666
Mufulira,2021,30014.34212114055,10907798.970354388,3.506753313483393
Mufulira,2022,29106.574705086823,9077674.1605373,3.0244454880600085
Mufumbwe,2001,1289096.5411250186,6705930.742124071,0.05199334487839573
Mufumbwe,2002,1287804.6245353671,12919165.896512618,0.100218761623841
Mufumbwe,2003,1287421.3667262904,3832578.090765979,0.029760555427021797
Mufumbwe,2004,1287226.5891213024,1947776.04988152,0.015129281680592325
Mufumbwe,2005,1286165.0618593942,10615272.619081745,0.08246623173258123
Mufumbwe,2006,1285489.4817098957,6755801.494986262,0.05252670668272917
Mufumbwe,2007,1285176.9193358668,3125623.7402891866,0.024314658227554173
Mufumbwe,2008,1284549.6403079755,6272790.278910797,0.048808768540228295
Mufumbwe,2009,1276079.3431882095,84702971.1976608,0.6593981932636948
Mufumbwe,2010,1275058.863961186,10204792.270235907,0.07996988842981997
Mufumbwe,2011,1272824.5975224883,22342664.386977013,0.17522849351100345
Mufumbwe,2012,1271924.0500585365,9005474.639519425,0.07075189037867659
Mufumbwe,2013,1270421.0829059824,15029671.525541658,0.11816485052586247
Mufumbwe,2014,1268812.8959315212,16081869.744611435,0.1265869242961987
Mufumbwe,2015,1267219.3241636993,15935717.678218348,0.12559548952660085
Mufumbwe,2016,1264767.5828874358,24517412.762633797,0.1934741074029474
Mufumbwe,2017,1262632.0155731835,21355673.142525468,0.16885057327110603
Mufumbwe,2018,1260530.424533512,21015910.39671607,0.16644525196183704
Mufumbwe,2019,1258102.6374592152,24277870.742965877,0.1926004344714683
Mufumbwe,2020,1253076.5674090856,50260700.50129634,0.39949602683291147
Mufumbwe,2021,1244827.7963342587,82487710.74827091,0.6582814880883616
Mufumbwe,2022,1236944.5277155156,78832686.18743107,0.6332818597044171
Mumbwa,2001,374490.1997381231,8577877.33624531,0.22853132619742536
Mumbwa,2002,374330.6419831524,1595577.5497070313,0.042606657018602924
Mumbwa,2003,373524.1795971539,8064623.8599853525,0.21544118903170953
Mumbwa,2004,373008.5186155978,5156609.815560853,0.13805290519939728
Mumbwa,2005,371667.5515405276,13409670.750702024,0.3595003889045574
Mumbwa,2006,370897.77531285107,7697762.276765471,0.20711418698939302
Mumbwa,2007,370561.2928416633,3364824.7118776804,0.09072108100512227
