district,year,mean_start_day,start_date,mean_growing_period,mean_end_day,end_date
Chikankanta,2007,314.69444444444446,November 10,147.05555555555554,461.75,April 05
Chikankanta,2008,323.69444444444446,November 19,155.38888888888889,479.08333333333337,April 23
Chikankanta,2009,315.52777777777777,November 11,157.13888888888889,472.66666666666663,April 17
Chikankanta,2010,328.0,November 24,151.16666666666666,479.16666666666663,April 24
Chikankanta,2011,348.5,December 14,108.30555555555556,456.80555555555554,March 31
Chikankanta,2012,327.94444444444446,November 23,151.08333333333334,479.0277777777778,April 23
Chikankanta,2013,337.05555555555554,December 03,137.25,474.30555555555554,April 19
Chikankanta,2014,310.0,November 06,162.77777777777777,472.77777777777777,April 17
Chikankanta,2015,323.0,November 19,148.58333333333334,471.58333333333337,April 15
Chikankanta,2016,328.0,November 24,148.25,476.25,April 20
Chikankanta,2017,331.0,November 27,148.58333333333334,479.58333333333337,April 24
Chikankanta,2018,333.05555555555554,November 29,163.80555555555554,496.8611111111111,May 11
Chikankanta,2019,3.0,January 03,107.05555555555556,110.05555555555556,April 20
Chikankanta,2020,123.66666666666669,May 03,111.41666666666669,235.08333333333337,August 22
Chikankanta,2021,323.80555555555554,November 19,143.47222222222223,467.27777777777777,April 12
Chilanga,2000,308.8235294117647,November 04,172.64705882352942,481.47058823529414,April 25
Chilanga,2001,322.0,November 18,157.0,479.0,April 24
Chilanga,2002,347.0,December 13,104.0,451.0,March 27
Chilanga,2003,332.2352941176471,November 28,154.76470588235293,487.0,May 01
Chilanga,2004,328.4117647058824,November 24,153.05882352941177,481.47058823529414,April 25
Chilanga,2005,333.94117647058823,November 29,116.82352941176472,450.7647058823529,March 26
Chilanga,2006,322.0,November 18,151.94117647058823,473.94117647058823,April 18
Chilanga,2007,313.3529411764706,November 09,146.7058823529412,460.0588235294118,April 04
Chilanga,2008,323.3529411764706,November 19,152.76470588235293,476.11764705882354,April 20
Chilanga,2009,314.3529411764706,November 10,160.8235294117647,475.1764705882353,April 20
Chilanga,2010,327.7647058823529,November 23,149.7058823529412,477.47058823529414,April 22
Chilanga,2011,347.11764705882354,December 13,110.52941176470588,457.6470588235294,April 01
Chilanga,2012,307.1764705882353,November 03,175.41176470588235,482.5882352941177,April 26
Chilanga,2013,309.47058823529414,November 05,157.11764705882354,466.5882352941177,April 11
Chilanga,2014,319.7058823529412,November 15,152.94117647058823,472.64705882352945,April 17
Chilanga,2015,323.0,November 19,146.64705882352942,469.6470588235294,April 13
Chilanga,2016,327.6470588235294,November 23,149.41176470588235,477.0588235294117,April 21
Chilanga,2017,331.0,November 27,148.76470588235293,479.7647058823529,April 24
Chilanga,2018,331.94117647058823,November 27,168.8235294117647,500.7647058823529,May 15
Chilanga,2019,24.176470588235293,January 24,109.58823529411764,133.76470588235293,May 13
Chilanga,2020,330.11764705882354,November 26,151.64705882352942,481.7647058823529,April 25
Chilanga,2021,322.7647058823529,November 18,141.52941176470588,464.2941176470588,April 09
Chililabombwe,2000,307.0,November 03,183.0,490.0,May 04
Chililabombwe,2001,299.0625,October 26,189.0625,488.125,May 03
Chililabombwe,2002,307.5,November 03,193.875,501.375,May 16
Chililabombwe,2003,327.125,November 23,191.0,518.125,June 01
Chililabombwe,2004,310.6875,November 06,187.5,498.1875,May 12
Chililabombwe,2005,312.0,November 08,176.0,488.0,May 03
Chililabombwe,2006,311.1875,November 07,191.625,502.8125,May 17
Chililabombwe,2007,303.0,October 30,185.375,488.375,May 02
Chililabombwe,2008,314.8125,November 10,166.75,481.5625,April 25
Chililabombwe,2009,298.75,October 25,207.0,505.75,May 20
Chililabombwe,2010,316.25,November 12,173.75,490.0,May 05
Chililabombwe,2011,337.5625,December 03,152.6875,490.25,May 04
Chililabombwe,2012,313.0,November 09,178.8125,491.8125,May 05
Chililabombwe,2013,298.0,October 25,193.0,491.0,May 06
Chililabombwe,2014,324.0,November 20,169.5625,493.5625,May 08
Chililabombwe,2015,323.75,November 19,170.125,493.875,May 07
Chililabombwe,2016,322.0,November 18,171.0625,493.0625,May 07
Chililabombwe,2017,327.25,November 23,165.75,493.0,May 08
Chililabombwe,2018,317.75,November 13,182.25,500.0,May 15
Chililabombwe,2019,344.0,December 10,159.6875,503.6875,May 17
Chililabombwe,2020,336.0,December 02,171.125,507.125,May 21
Chililabombwe,2021,321.25,November 17,165.0,486.25,May 01
Chilubi,2000,307.16129032258067,November 03,184.8548387096774,492.01612903225805,May 06
Chilubi,2001,306.98387096774195,November 02,183.5806451612904,490.5645161290323,May 05
Chilubi,2002,312.1290322580645,November 08,183.4032258064516,495.5322580645161,May 10
Chilubi,2003,331.43548387096774,November 27,166.40322580645162,497.8387096774194,May 11
Chilubi,2004,312.3225806451613,November 08,186.80645161290323,499.1290322580645,May 13
Chilubi,2005,325.8709677419355,November 21,162.6451612903226,488.51612903225805,May 03
Chilubi,2006,317.7258064516129,November 13,179.79032258064515,497.51612903225805,May 12
Chilubi,2007,300.80645161290323,October 27,198.75806451612905,499.5645161290323,May 13
Chilubi,2008,316.1774193548387,November 12,164.70967741935485,480.88709677419354,April 24
Chilubi,2009,311.5,November 07,187.0806451612904,498.58064516129036,May 13
Chilubi,2010,320.30645161290323,November 16,171.70967741935485,492.01612903225805,May 07
Chilubi,2011,346.258064516129,December 12,148.96774193548387,495.2258064516129,May 09
Chilubi,2012,313.0,November 09,192.3870967741936,505.3870967741936,May 19
Chilubi,2013,304.7741935483871,October 31,187.6290322580645,492.4032258064516,May 07
Chilubi,2014,326.3709677419355,November 22,169.4516129032258,495.8225806451613,May 10
