,district,year,population,pop_growth
1681,Mwinilunga,2014,126024.0546875,0.03804852980203366
1796,Mwinilunga,2015,130645.453125,0.036670764553319746
1911,Mwinilunga,2016,135315.53125,0.03574619715645011
2026,Mwinilunga,2017,139968.203125,0.03438387177007818
2141,Mwinilunga,2018,144648.921875,0.03344130056324168
2256,Mwinilunga,2019,149327.9375,0.03234739370572992
2371,Mwinilunga,2020,154026.171875,0.03146252773363334
61,Nakonde,2000,77074.9765625,
176,Nakonde,2001,80656.375,0.04646642266048362
291,Nakonde,2002,84348.21875,0.04577249783417625
406,Nakonde,2003,87709.625,0.03985153806226638
521,Nakonde,2004,91726.9296875,0.045802324288811036
636,Nakonde,2005,96096.96875,0.04764183296430047
751,Nakonde,2006,100074.6328125,0.04139219076564271
866,Nakonde,2007,104434.015625,0.043561317088894436
981,Nakonde,2008,108780.421875,0.041618683567689274
1096,Nakonde,2009,113687.3046875,0.04510814288014542
1211,Nakonde,2010,119016.609375,0.04687686722936224
1326,Nakonde,2011,124150.484375,0.04313578606347357
1441,Nakonde,2012,128022.8984375,0.031191292422212857
1556,Nakonde,2013,133310.21875,0.04129980165291469
1671,Nakonde,2014,140106.1875,0.05097860324379666
1786,Nakonde,2015,146008.078125,0.04212441099362585
1901,Nakonde,2016,151758.09375,0.03938148970139377
2016,Nakonde,2017,157786.90625,0.039726464342202616
2131,Nakonde,2018,164168.65625,0.04044537123941483
2246,Nakonde,2019,170277.078125,0.03720821023044718
2361,Nakonde,2020,176862.0,0.038671804493650264
108,Nalolo,2000,48961.12109375,
223,Nalolo,2001,49822.34765625,0.017590009036985377
338,Nalolo,2002,50377.68359375,0.011146322155100918
453,Nalolo,2003,50738.61328125,0.007164475651770141
568,Nalolo,2004,51344.4296875,0.011939948040989856
683,Nalolo,2005,51788.3203125,0.008645351164706216
798,Nalolo,2006,52121.73828125,0.006438091962398085
913,Nalolo,2007,52713.6875,0.01135705059481773
1028,Nalolo,2008,53135.3671875,0.007999434444801556
1143,Nalolo,2009,53279.140625,0.002705795501377839
1258,Nalolo,2010,54248.84375,0.01820042728964344
1373,Nalolo,2011,54731.9921875,0.008906151801622464
1488,Nalolo,2012,56110.77734375,0.025191576281867745
1603,Nalolo,2013,56760.3125,0.011575942929301641
1718,Nalolo,2014,56819.109375,0.0010358800438245996
1833,Nalolo,2015,57621.5625,0.01412294444293205
1948,Nalolo,2016,57896.56640625,0.004772586759513864
2063,Nalolo,2017,58529.63671875,0.010934505304819986
2178,Nalolo,2018,58550.76953125,0.00036106174042305206
2293,Nalolo,2019,59062.90625,0.008746882796760946
2408,Nalolo,2020,58948.3828125,-0.001939007826930239
94,Namwala,2000,84993.953125,
