district,season_year,mean_growing_spei,median_growing_spei,n_months,province,province_avg_start_date,province_avg_end_date
Ngabwe,2011,1.1140610456466675,1.1339348554611206,5,Central,November 18,April 22
Ngabwe,2012,0.9992331763108572,0.929897129535675,6,Central,November 18,April 22
Ngabwe,2013,0.32102199271321297,0.36236342787742615,6,Central,November 18,April 22
Ngabwe,2014,-0.484837007522583,-0.5484225153923035,5,Central,November 18,April 22
Ngabwe,2015,-0.6024634599685669,-0.6487529873847961,5,Central,November 18,April 22
Ngabwe,2016,0.02341781258583069,0.1167366802692413,5,Central,November 18,April 22
Ngabwe,2017,1.1248075366020203,1.130523443222046,5,Central,November 18,April 22
Ngabwe,2018,1.0555816411972045,1.1039962768554688,5,Central,November 18,April 22
Ngabwe,2019,0.4626679688692093,0.4511893689632416,5,Central,November 18,April 22
Ngabwe,2020,0.42617736756801605,0.4039251804351806,5,Central,November 18,April 22
Ngabwe,2021,-0.4105432093143463,-0.557440459728241,5,Central,November 18,April 22
Nkeyema,2000,0.3850358563164869,0.42580820620059967,6,Western,November 07,April 13
Nkeyema,2001,0.37348441205297905,0.3368295133113861,6,Western,November 07,April 13
Nkeyema,2002,-0.06325634155073205,-0.0598606280982494,5,Western,November 07,April 13
Nkeyema,2003,0.4914289712905884,0.5045841485261917,6,Western,November 07,April 13
Nkeyema,2004,0.0631828506787618,0.08176714181900024,6,Western,November 07,April 13
Nkeyema,2005,-0.36142238105336827,-0.37831583246588707,6,Western,November 07,April 13
Nkeyema,2006,0.7785407602787018,0.8378930985927582,6,Western,November 07,April 13
Nkeyema,2007,1.082165429989497,1.0101740956306458,6,Western,November 07,April 13
Nkeyema,2008,1.374910056591034,1.4332591891288757,6,Western,November 07,April 13
Nkeyema,2009,1.7298647562662761,1.711318016052246,6,Western,November 07,April 13
Nkeyema,2010,1.8252120614051819,1.8649072051048279,6,Western,November 07,April 13
Nkeyema,2011,1.6156223118305206,1.5754165649414062,4,Western,November 07,April 13
Nkeyema,2012,1.4533155759175618,1.4329044222831726,6,Western,November 07,April 13
Nkeyema,2013,1.154829466342926,1.1686530113220217,5,Western,November 07,April 13
Nkeyema,2014,-0.21277541170517603,-0.2876777052879333,6,Western,November 07,April 13
Nkeyema,2015,-1.1911644637584686,-1.2124227285385132,4,Western,November 07,April 13
Nkeyema,2016,-1.0215843319892883,-1.0207479000091553,5,Western,November 07,April 13
Nkeyema,2017,-0.3227534115314484,-0.2851623892784118,5,Western,November 07,April 13
Nkeyema,2018,-0.44442888100941974,-0.45541344583034515,6,Western,November 07,April 13
Nkeyema,2019,-0.6172197461128235,-0.593993604183197,5,Western,November 07,April 13
Nkeyema,2020,-0.3830933943390846,-0.4393838047981262,5,Western,November 07,April 13
Nkeyema,2021,-1.3106670379638672,-1.4007081985473633,5,Western,November 07,April 13
Nsama,2000,0.19849448596748212,0.2124607227742672,6,Northern,November 13,May 15
Nsama,2001,-0.8977199494838715,-0.9395556151866913,6,Northern,November 13,May 15
Nsama,2002,-0.6135069578886032,-0.6388954818248749,6,Northern,November 13,May 15
Nsama,2003,-0.9653740763664246,-1.0371228456497192,5,Northern,November 13,May 15
Nsama,2004,-0.6461326437337058,-0.6644682884216309,7,Northern,November 13,May 15
Nsama,2005,-1.3490678369998932,-1.3588935136795044,6,Northern,November 13,May 15
Nsama,2006,-0.9428968951106071,-0.8479385375976562,8,Northern,November 13,May 15
Nsama,2007,-0.38577173597046305,-0.4480584263801574,7,Northern,November 13,May 15
Nsama,2008,-0.6395316421985626,-0.6778151392936707,7,Northern,November 13,May 15
Nsama,2009,0.009344513217608116,0.08486929535865781,6,Northern,November 13,May 15
Nsama,2010,-1.2706129650274913,-1.275508999824524,6,Northern,November 13,May 15
Nsama,2011,-1.3507615327835083,-1.2294713258743286,5,Northern,November 13,May 15
Nsama,2012,-1.2454393420900618,-1.242005705833435,7,Northern,November 13,May 15
Nsama,2013,-0.4716525723536809,-0.5593800097703934,6,Northern,November 13,May 15
Nsama,2014,0.3068539291620255,0.2696534991264343,5,Northern,November 13,May 15
Nsama,2015,0.9359881281852722,0.98099684715271,6,Northern,November 13,May 15
Nsama,2016,0.15723680398826084,0.1168724074959755,7,Northern,November 13,May 15
Nsama,2017,-0.22087633982300753,-0.1395221203565597,5,Northern,November 13,May 15
Nsama,2018,0.4710759154210488,0.5458003133535385,6,Northern,November 13,May 15
Nsama,2019,0.9057223399480184,0.8532213568687439,6,Northern,November 13,May 15
Nsama,2020,1.6792293389638264,1.6652426719665527,6,Northern,November 13,May 15
Nsama,2021,1.7315204381942748,1.7740572690963743,5,Northern,November 13,May 15
Nyimba,2000,1.3437016010284424,1.3422855138778687,6,Eastern,November 26,May 04
Nyimba,2001,0.9185423374176025,0.9409265518188475,5,Eastern,November 26,May 04
Nyimba,2002,0.6203153133392334,0.5713704824447632,5,Eastern,November 26,May 04
Nyimba,2003,0.5576776802539826,0.5611863136291504,5,Eastern,November 26,May 04
Nyimba,2004,-0.11981021187135152,-0.1010647192597389,7,Eastern,November 26,May 04
Nyimba,2005,-0.5770094891389211,-0.7351186275482178,3,Eastern,November 26,May 04
Nyimba,2006,0.5064303353428841,0.5183655619621277,5,Eastern,November 26,May 04
Nyimba,2007,1.0406662583351136,0.9560020565986632,5,Eastern,November 26,May 04
Nyimba,2008,1.0290881156921388,0.9670318961143494,5,Eastern,November 26,May 04
Nyimba,2009,1.897569219271342,1.9219076037406921,6,Eastern,November 26,May 04
Nyimba,2010,1.8679049015045166,1.6438149213790894,5,Eastern,November 26,May 04
Nyimba,2011,1.2154426574707031,1.2617706060409546,3,Eastern,November 26,May 04
Nyimba,2012,0.9766560892264048,1.0196456909179688,6,Eastern,November 26,May 04
Nyimba,2013,-0.16460666358470916,-0.4022358059883117,5,Eastern,November 26,May 04
Nyimba,2014,-0.8680419802665711,-0.7945606708526611,5,Eastern,November 26,May 04
Nyimba,2015,-1.2523141980171204,-1.304342269897461,5,Eastern,November 26,May 04
Nyimba,2016,-0.7706974983215332,-0.6991894841194153,5,Eastern,November 26,May 04
Nyimba,2017,-0.1599767208099365,-0.0885097160935401,5,Eastern,November 26,May 04
Nyimba,2018,-0.17304075360298152,-0.2713971138000488,5,Eastern,November 26,May 04
Nyimba,2019,-0.2553082436323166,-0.2607754468917846,5,Eastern,November 26,May 04
Nyimba,2020,-0.22217069342732426,-0.2969163358211517,5,Eastern,November 26,May 04
