province,year,loss_ha
Southern,2012,369.7550398464786
Western,2012,5256.494673965968
Central,2013,11683.689225996282
Copperbelt,2013,14123.950873462629
Eastern,2013,3401.1395894082466
Luapula,2013,10323.08098272693
Lusaka,2013,384.0369222965255
North-Western,2013,20105.052466772555
Northern,2013,18054.22472028665
Southern,2013,991.2810597455671
Western,2013,5796.805506337197
Central,2014,21599.195250670524
Copperbelt,2014,26220.893270864904
Eastern,2014,3897.483783800121
Luapula,2014,11439.208164200607
Lusaka,2014,621.9096602905273
North-Western,2014,20283.36905215873
Northern,2014,23146.790897515173
Southern,2014,1358.14855211196
Western,2014,6795.011299259415
Central,2015,13939.712902813388
Copperbelt,2015,16652.519929505685
Eastern,2015,2004.2074728940952
Luapula,2015,10786.503192894215
Lusaka,2015,733.409838482666
North-Western,2015,22407.968940945306
Northern,2015,14375.169463706032
Southern,2015,1001.8375748969104
Western,2015,5739.811241005476
Central,2016,17262.973799578238
Copperbelt,2016,26538.58732066449
Eastern,2016,3803.8725522270174
Luapula,2016,18018.90492913663
Lusaka,2016,519.2518919372559
North-Western,2016,34104.96071192341
Northern,2016,26270.57293253574
Southern,2016,927.8286066955567
Western,2016,14399.52869419637
Central,2017,22824.598333996848
Copperbelt,2017,25211.972628237665
Eastern,2017,5257.095637592941
Luapula,2017,22967.59964147099
Lusaka,2017,1612.8834795684456
North-Western,2017,39746.25121234639
Northern,2017,33387.45562185688
Southern,2017,2290.293036971747
Western,2017,9434.51709081725
Central,2018,18402.869213700193
Copperbelt,2018,25792.66612645584
Eastern,2018,2242.6106641929955
Luapula,2018,21790.973016455104
Lusaka,2018,797.8209756760541
North-Western,2018,35292.57086909318
Northern,2018,29467.412670317888
Southern,2018,857.7735842448157
Western,2018,9356.297894116618
Central,2019,13964.099128488273
Copperbelt,2019,22370.884087888087
Eastern,2019,2188.127995138203
Luapula,2019,18335.017471166997
Lusaka,2019,516.842893157217
North-Western,2019,29611.11266779826
Northern,2019,29094.518387206914
Southern,2019,869.7352009764905
Western,2019,7726.077381310772
Central,2020,21113.51184086878
Copperbelt,2020,27728.965420497716
Eastern,2020,3894.49035529754
Luapula,2020,25408.16372096629
Lusaka,2020,848.5647509151682
North-Western,2020,41139.91047778457
Northern,2020,32575.13051634404
Southern,2020,1418.6424696757715
Western,2020,8930.569929328756
Central,2021,30063.592828010183
Copperbelt,2021,36202.549837450264
Eastern,2021,5859.482903683915
Luapula,2021,20411.361207104615
Lusaka,2021,1581.7669922256528
North-Western,2021,55156.75273964138
Northern,2021,36439.247409612144
Southern,2021,2056.596465623277
Western,2021,13871.529102438057
Central,2022,26024.59050950193
Copperbelt,2022,26664.545894041486
Eastern,2022,4857.946643424479
Luapula,2022,22117.136739732116
Lusaka,2022,798.719861753959
North-Western,2022,50983.12790323189
Northern,2022,37414.06834786606
Southern,2022,1596.2671725327675
Western,2022,8744.360906949654
