,district,year,spei,mean_growing_period
648,Kalabo,2010,1.6777039666666667,181.77966101694915
649,Kalabo,2011,2.02313035,122.40677966101696
650,Kalabo,2012,1.81460795,156.77118644067798
651,Kalabo,2013,1.45700535,169.0
652,Kalabo,2014,1.2747440583333334,182.03389830508476
653,Kalabo,2015,-0.17044603249999998,143.02542372881356
654,Kalabo,2016,-0.6845283558333334,162.03389830508473
655,Kalabo,2017,-0.22162910866666666,153.3135593220339
656,Kalabo,2018,-0.05675582925,133.02542372881356
657,Kalabo,2019,-0.43604468916666667,174.0084745762712
658,Kalabo,2020,0.004032519449999998,153.16101694915255
659,Kalabo,2021,-0.591988895,160.61016949152545
660,Kalomo,2000,0.6551189141666667,187.02
661,Kalomo,2001,0.6285200608333333,165.39
662,Kalomo,2002,0.5516696458333333,78.41
663,Kalomo,2003,-0.0634057987,138.03
664,Kalomo,2004,-0.060402786865833336,150.37
665,Kalomo,2005,-1.23334729,103.98
666,Kalomo,2006,-0.15375660500000002,152.74
667,Kalomo,2007,0.7610990116666666,153.96
668,Kalomo,2008,1.2704048666666667,154.23
669,Kalomo,2009,1.856558,159.92
670,Kalomo,2010,1.8752372333333334,173.19
671,Kalomo,2011,1.8651975500000002,109.11
672,Kalomo,2012,1.27604455,160.73
673,Kalomo,2013,1.0725350483333334,146.3
674,Kalomo,2014,0.8777028991666667,128.83
675,Kalomo,2015,0.32485726583333335,144.09
676,Kalomo,2016,0.016356476916666668,148.67
677,Kalomo,2017,0.49766197333333334,146.19
678,Kalomo,2018,0.6585390408333334,168.2
679,Kalomo,2019,-0.21883751250000003,100.09
680,Kalomo,2020,-0.19565867233333334,83.91
681,Kalomo,2021,-0.9418817968333334,149.07
682,Kalulushi,2000,0.24442143775,184.58333333333331
683,Kalulushi,2001,1.680556733333333,189.0
684,Kalulushi,2002,0.7470046149999999,192.75
685,Kalulushi,2003,1.1403343575,165.5
686,Kalulushi,2004,1.4902082166666668,188.33333333333331
687,Kalulushi,2005,-0.49430245083333335,175.5
688,Kalulushi,2006,-0.11811042041666668,182.08333333333331
689,Kalulushi,2007,-0.4499990016666667,181.75
690,Kalulushi,2008,-0.20831656858333333,168.0
691,Kalulushi,2009,1.0145114608333332,207.41666666666663
692,Kalulushi,2010,1.4568430083333332,173.25
693,Kalulushi,2011,1.094351925,151.75
694,Kalulushi,2012,1.270810025,178.91666666666666
695,Kalulushi,2013,0.32219507566666666,193.16666666666663
696,Kalulushi,2014,-0.3549478394166667,171.41666666666666
697,Kalulushi,2015,-0.8768194158333333,169.25
698,Kalulushi,2016,-1.2287547333333333,170.75
699,Kalulushi,2017,-0.28873334916666665,165.08333333333334
700,Kalulushi,2018,0.19101610916666667,184.0
701,Kalulushi,2019,0.57025338,158.08333333333334
702,Kalulushi,2020,-0.16985035916666666,171.0
703,Kalulushi,2021,0.14719828416666667,165.58333333333334
704,Kalumbila,2000,-0.3269283155833333,186.9808917197452
705,Kalumbila,2001,0.6852475233333334,190.79617834394904
706,Kalumbila,2002,-0.6044368916666667,186.2420382165605
707,Kalumbila,2003,-0.9979926275,201.0828025477707
708,Kalumbila,2004,-0.17058716675,184.2165605095541
709,Kalumbila,2005,-1.251399075,178.43312101910828
710,Kalumbila,2006,-0.944065245,195.0382165605096
711,Kalumbila,2007,-0.06044703174999999,192.375796178344
712,Kalumbila,2008,-0.346157922,180.13375796178343
713,Kalumbila,2009,0.8082626350000001,203.4904458598726
714,Kalumbila,2010,1.4447917583333334,186.47770700636943
715,Kalumbila,2011,1.0851120250000001,199.5732484076433
716,Kalumbila,2012,1.0975785974999999,196.94267515923568
717,Kalumbila,2013,0.6069246791666667,195.38853503184717
718,Kalumbila,2014,0.8264274458333333,166.7324840764331
719,Kalumbila,2015,-0.251099507,169.9936305732484
720,Kalumbila,2016,-0.5850002108333333,174.8535031847134
721,Kalumbila,2017,-0.9082709458333333,171.02547770700636
722,Kalumbila,2018,-0.9434363833333334,187.9171974522293
723,Kalumbila,2019,-0.12699270616666666,160.96815286624204
724,Kalumbila,2020,0.3708802066666667,205.10191082802547
725,Kalumbila,2021,0.5185489816666666,172.96815286624204
726,Kanchibiya,2000,-0.08055689758333334,179.53398058252426
727,Kanchibiya,2001,0.8445188016666667,182.0970873786408
728,Kanchibiya,2002,-0.350364205,176.90291262135923
729,Kanchibiya,2003,-0.08081788133333334,164.16504854368932
730,Kanchibiya,2004,0.19789233787500002,162.94174757281553
731,Kanchibiya,2005,-0.07297756216666666,172.33009708737865
732,Kanchibiya,2006,-0.09895424311666667,179.33009708737865
733,Kanchibiya,2007,0.8028198624999999,185.2233009708738
734,Kanchibiya,2008,1.0279842266666666,152.04854368932038
735,Kanchibiya,2009,1.0916070366666666,174.80582524271844
736,Kanchibiya,2010,1.9707206916666669,155.8640776699029
737,Kanchibiya,2011,0.8407555533333334,143.0097087378641
738,Kanchibiya,2012,0.8421129441666667,179.38834951456312
739,Kanchibiya,2013,0.401499016,166.33009708737865
740,Kanchibiya,2014,-0.3067487983333333,165.79611650485438
741,Kanchibiya,2015,-0.864020435,167.1747572815534
742,Kanchibiya,2016,-1.1625657166666667,165.24271844660194
743,Kanchibiya,2017,-0.9400844516666668,163.80582524271844
744,Kanchibiya,2018,-0.6173626733333334,162.38834951456312
745,Kanchibiya,2019,0.40807688666666664,160.93203883495147
746,Kanchibiya,2020,0.69044616,164.09708737864077
747,Kanchibiya,2021,0.8838113375000001,160.6990291262136
748,Kaoma,2000,-0.43295682416666664,173.8272727272727
749,Kaoma,2001,0.10955411074999999,184.5636363636364
750,Kaoma,2002,0.2091240325,173.86363636363637
751,Kaoma,2003,0.046225022625,176.78181818181818
752,Kaoma,2004,0.7474033616666667,168.4909090909091
753,Kaoma,2005,-0.31242334833333335,172.5
754,Kaoma,2006,0.04985555858333334,168.27272727272728
755,Kaoma,2007,0.7600931658333333,178.54545454545453
756,Kaoma,2008,0.634146705,162.3272727272727
757,Kaoma,2009,1.5176543999999998,189.5636363636364
758,Kaoma,2010,1.8205388249999999,181.34545454545452
759,Kaoma,2011,1.912849425,132.6909090909091
760,Kaoma,2012,1.7605772583333332,168.5
761,Kaoma,2013,1.3810669333333332,172.4181818181818
762,Kaoma,2014,0.9482782241666667,174.98181818181817
763,Kaoma,2015,-0.46167034476666663,145.83636363636364
764,Kaoma,2016,-0.9543483666666667,164.96363636363637
765,Kaoma,2017,-0.3524518291666667,155.3909090909091
766,Kaoma,2018,-0.11206355058333334,179.47272727272727
767,Kaoma,2019,-0.37855667249999997,161.35454545454544
768,Kaoma,2020,-0.07279729975,164.07272727272726
769,Kaoma,2021,-0.7129035033333334,159.35454545454544
770,Kapiri Mposhi,2000,0.7961451374999999,176.58715596330276
771,Kapiri Mposhi,2001,1.449368025,161.92660550458714
772,Kapiri Mposhi,2002,1.0248884433333332,158.8165137614679
773,Kapiri Mposhi,2003,0.9615378358333334,154.1559633027523
774,Kapiri Mposhi,2004,1.05552635,162.651376146789
775,Kapiri Mposhi,2005,-0.6627839096666667,137.08256880733944
776,Kapiri Mposhi,2006,0.08577982441666666,153.91743119266056
777,Kapiri Mposhi,2007,-0.02602804183333333,156.6880733944954
778,Kapiri Mposhi,2008,0.1582799435,161.25688073394497
779,Kapiri Mposhi,2009,1.1196372283333333,167.59633027522935
