date,district,spei
2011-09-30 00:00:00,Chadiza,-0.3331148028373718
2011-10-31 00:00:00,Chadiza,-0.7636674046516418
2011-11-30 00:00:00,Chadiza,-0.11760755628347397
2011-12-31 00:00:00,Chadiza,-0.5300417542457581
2012-01-31 00:00:00,Chadiza,0.26386043429374695
2012-02-29 00:00:00,Chadiza,0.43554139137268066
2012-03-31 00:00:00,Chadiza,0.7735677361488342
2012-04-30 00:00:00,Chadiza,0.9622805118560791
2012-05-31 00:00:00,Chadiza,0.9038021564483643
2012-06-30 00:00:00,Chadiza,1.3496763706207275
2012-07-31 00:00:00,Chadiza,0.7879877090454102
2012-08-31 00:00:00,Chadiza,1.106032371520996
2012-09-30 00:00:00,Chadiza,0.8447659611701965
2012-10-31 00:00:00,Chadiza,-0.7213395237922668
2012-11-30 00:00:00,Chadiza,-0.7514336705207825
2012-12-31 00:00:00,Chadiza,-0.28584301471710205
2013-01-31 00:00:00,Chadiza,-0.271939754486084
2013-02-28 00:00:00,Chadiza,-0.7378566861152649
2013-03-31 00:00:00,Chadiza,-0.9772477746009827
2013-04-30 00:00:00,Chadiza,-0.7885419726371765
2013-05-31 00:00:00,Chadiza,-0.7091836929321289
2013-06-30 00:00:00,Chadiza,-0.8758395910263062
2013-07-31 00:00:00,Chadiza,-0.9459298253059387
2013-08-31 00:00:00,Chadiza,-0.8529354929924011
2013-09-30 00:00:00,Chadiza,-0.4527745842933655
2013-10-31 00:00:00,Chadiza,-0.8140332102775574
2013-11-30 00:00:00,Chadiza,-1.070258378982544
2013-12-31 00:00:00,Chadiza,-0.6496987342834473
2014-01-31 00:00:00,Chadiza,-0.6419891715049744
2014-02-28 00:00:00,Chadiza,-0.4417329728603363
2014-03-31 00:00:00,Chadiza,-0.5424845814704895
2014-04-30 00:00:00,Chadiza,-0.5334276556968689
2014-05-31 00:00:00,Chadiza,-0.36050543189048767
2014-06-30 00:00:00,Chadiza,-0.3672466576099396
2014-07-31 00:00:00,Chadiza,-0.3446904122829437
2014-08-31 00:00:00,Chadiza,-0.5907973647117615
2014-09-30 00:00:00,Chadiza,-0.3613596558570862
2014-10-31 00:00:00,Chadiza,-0.8983224630355835
2014-11-30 00:00:00,Chadiza,-1.8416990041732788
2014-12-31 00:00:00,Chadiza,-1.6372511386871338
2015-01-31 00:00:00,Chadiza,-0.7848682999610901
2015-02-28 00:00:00,Chadiza,-0.8187658786773682
2015-03-31 00:00:00,Chadiza,-1.1141080856323242
2015-04-30 00:00:00,Chadiza,-0.9328913688659668
2015-05-31 00:00:00,Chadiza,-0.5950061082839966
2015-06-30 00:00:00,Chadiza,-0.35168591141700745
2015-07-31 00:00:00,Chadiza,-0.8711350560188293
2015-08-31 00:00:00,Chadiza,-1.1721125841140747
2015-09-30 00:00:00,Chadiza,-1.0572129487991333
2015-10-31 00:00:00,Chadiza,-1.9910311698913574
2015-11-30 00:00:00,Chadiza,-2.008880376815796
2015-12-31 00:00:00,Chadiza,-1.7463454008102417
2016-01-31 00:00:00,Chadiza,-2.1434717178344727
2016-02-29 00:00:00,Chadiza,-2.0989785194396973
2016-03-31 00:00:00,Chadiza,-1.689725637435913
2016-04-30 00:00:00,Chadiza,-1.4924168586730957
2016-05-31 00:00:00,Chadiza,-1.352730393409729
2016-06-30 00:00:00,Chadiza,-1.25056791305542
2016-07-31 00:00:00,Chadiza,-0.7460629940032959
2016-08-31 00:00:00,Chadiza,-0.347044974565506
2016-09-30 00:00:00,Chadiza,-1.3838955163955688
2016-10-31 00:00:00,Chadiza,-1.713666558265686
2016-11-30 00:00:00,Chadiza,0.4346385896205902
2016-12-31 00:00:00,Chadiza,0.11742398142814636
2017-01-31 00:00:00,Chadiza,0.8053156733512878
2017-02-28 00:00:00,Chadiza,1.3301572799682617
2017-03-31 00:00:00,Chadiza,1.2039456367492676
2017-04-30 00:00:00,Chadiza,1.4947978258132935
2017-05-31 00:00:00,Chadiza,1.2097374200820923
2017-06-30 00:00:00,Chadiza,1.5230787992477417
2017-07-31 00:00:00,Chadiza,0.938067615032196
2017-08-31 00:00:00,Chadiza,0.4546838402748108
2017-09-30 00:00:00,Chadiza,1.1739977598190308
2017-10-31 00:00:00,Chadiza,-0.05373945087194443
2017-11-30 00:00:00,Chadiza,1.1904762983322144
