,Unnamed: 0,district,season_year,mean_growing_spei,median_growing_spei,n_months,province,province_avg_start_date,province_avg_end_date
233,233,Chililabombwe,2013,0.3917269228571429,0.3946048,7,Copperbelt,November 13,May 07
234,234,Chililabombwe,2014,-0.3753944716666666,-0.35625634,6,Copperbelt,November 13,May 07
235,235,Chililabombwe,2015,-0.9361091333333332,-0.97904565,6,Copperbelt,November 13,May 07
236,236,Chililabombwe,2016,-0.9897454766666668,-0.94866925,6,Copperbelt,November 13,May 07
237,237,Chililabombwe,2017,-0.461038005,-0.451141825,6,Copperbelt,November 13,May 07
238,238,Chililabombwe,2018,0.213633315,0.226672185,6,Copperbelt,November 13,May 07
239,239,Chililabombwe,2019,-0.1031704069999999,-0.13495328,5,Copperbelt,November 13,May 07
240,240,Chililabombwe,2020,0.333737222,0.24586286,5,Copperbelt,November 13,May 07
241,241,Chililabombwe,2021,-0.0429973366666666,-0.0683252749999999,6,Copperbelt,November 13,May 07
242,242,Chilubi,2000,1.1890504833333333,1.17551785,6,Northern,November 13,May 15
243,243,Chilubi,2001,0.2311540083333333,0.12175002,6,Northern,November 13,May 15
244,244,Chilubi,2002,0.5185848383333332,0.5651079999999999,6,Northern,November 13,May 15
245,245,Chilubi,2003,0.3812839593333333,0.44200058,6,Northern,November 13,May 15
246,246,Chilubi,2004,0.4311837091666666,0.4969743199999999,6,Northern,November 13,May 15
247,247,Chilubi,2005,-0.6052535950000001,-0.56651185,6,Northern,November 13,May 15
248,248,Chilubi,2006,0.0769156509,0.1420310977,6,Northern,November 13,May 15
249,249,Chilubi,2007,0.60154442,0.5936587,7,Northern,November 13,May 15
250,250,Chilubi,2008,0.02812941,0.03197643,5,Northern,November 13,May 15
251,251,Chilubi,2009,1.2850096666666666,1.2459308,6,Northern,November 13,May 15
252,252,Chilubi,2010,-0.0335218299999999,-0.205805135,6,Northern,November 13,May 15
253,253,Chilubi,2011,-0.31617933,-0.32973215,5,Northern,November 13,May 15
254,254,Chilubi,2012,-0.18846947,-0.167362575,6,Northern,November 13,May 15
255,255,Chilubi,2013,-0.38159303,-0.35968072,6,Northern,November 13,May 15
256,256,Chilubi,2014,-0.6288185033333332,-0.6204531799999999,6,Northern,November 13,May 15
257,257,Chilubi,2015,-0.65430752,-0.6592511750000001,6,Northern,November 13,May 15
258,258,Chilubi,2016,-1.110250416666667,-1.0995939,6,Northern,November 13,May 15
259,259,Chilubi,2017,-0.7060731416666667,-0.714387825,6,Northern,November 13,May 15
260,260,Chilubi,2018,0.1234766233333333,0.196093565,6,Northern,November 13,May 15
261,261,Chilubi,2019,0.328928813,0.44840023,5,Northern,November 13,May 15
262,262,Chilubi,2020,1.22482962,1.1944059,5,Northern,November 13,May 15
263,263,Chilubi,2021,0.7198287583333333,0.748176225,6,Northern,November 13,May 15
264,264,Chingola,2000,1.198350968333333,1.3622766,6,Copperbelt,November 13,May 07
265,265,Chingola,2001,1.1345256657142857,1.1208049,7,Copperbelt,November 13,May 07
266,266,Chingola,2002,1.1562430166666668,1.11310565,6,Copperbelt,November 13,May 07
267,267,Chingola,2003,1.3907575833333334,1.40989015,6,Copperbelt,November 13,May 07
268,268,Chingola,2004,0.3798109066666666,0.386608105,6,Copperbelt,November 13,May 07
269,269,Chingola,2005,-0.6120686683333334,-0.77501915,6,Copperbelt,November 13,May 07
270,270,Chingola,2006,-0.2596956691666667,-0.252412835,6,Copperbelt,November 13,May 07
271,271,Chingola,2007,-0.1337801431428571,-0.08977073,7,Copperbelt,November 13,May 07
272,272,Chingola,2008,0.1252730095999999,-0.013761522,5,Copperbelt,November 13,May 07
273,273,Chingola,2009,1.383110528571429,1.4025345,7,Copperbelt,November 13,May 07
274,274,Chingola,2010,1.18675049,1.20718345,6,Copperbelt,November 13,May 07
275,275,Chingola,2011,1.00273424,0.9608738,5,Copperbelt,November 13,May 07
276,276,Chingola,2012,0.9592294383333332,1.07445855,6,Copperbelt,November 13,May 07
277,277,Chingola,2013,0.3668401879999999,0.40658146,7,Copperbelt,November 13,May 07
278,278,Chingola,2014,-0.4123082943333333,-0.3964721,6,Copperbelt,November 13,May 07
279,279,Chingola,2015,-0.8189600416666666,-0.82662552,6,Copperbelt,November 13,May 07
280,280,Chingola,2016,-0.8363103233333335,-0.8112238,6,Copperbelt,November 13,May 07
281,281,Chingola,2017,-0.1527647546666666,-0.111337125,6,Copperbelt,November 13,May 07
282,282,Chingola,2018,0.43043083,0.4619905199999999,6,Copperbelt,November 13,May 07
283,283,Chingola,2019,-0.0048366912,-0.095253766,5,Copperbelt,November 13,May 07
284,284,Chingola,2020,0.3973571954,0.38651142,5,Copperbelt,November 13,May 07
285,285,Chingola,2021,-0.2141259303333333,-0.28742549,6,Copperbelt,November 13,May 07
286,286,Chinsali,2000,0.5826452266666667,0.628094075,6,Muchinga,November 24,May 12
287,287,Chinsali,2001,-0.5731593540000001,-0.61051714,5,Muchinga,November 24,May 12
288,288,Chinsali,2002,-0.2375654718333333,-0.1245849219999999,6,Muchinga,November 24,May 12
289,289,Chinsali,2003,0.06165661,0.0929897624999999,6,Muchinga,November 24,May 12
290,290,Chinsali,2004,0.3368003983333333,0.257346545,6,Muchinga,November 24,May 12
291,291,Chinsali,2005,-0.331885705,-0.29121217,5,Muchinga,November 24,May 12
292,292,Chinsali,2006,0.4611968571428572,0.3576073,7,Muchinga,November 24,May 12
293,293,Chinsali,2007,0.6221960133333333,0.66988465,6,Muchinga,November 24,May 12
294,294,Chinsali,2008,-0.837574678,-0.98394835,5,Muchinga,November 24,May 12
295,295,Chinsali,2009,0.2572485045,0.182978575,6,Muchinga,November 24,May 12
296,296,Chinsali,2010,-1.20310884,-1.4112686,5,Muchinga,November 24,May 12
