district,year,mean_growing_period
Mumbwa,2008,154.9704641350211
Ngabwe,2008,159.5
Serenje,2008,158.8740740740741
Chililabombwe,2008,166.75
Chingola,2008,168.33333333333334
Kalulushi,2008,168.0
Kitwe,2008,166.13333333333333
Luanshya,2008,165.88888888888889
Lufwanyama,2008,169.42635658914728
Masaiti,2008,163.61363636363637
Mpongwe,2008,164.08928571428572
Mufulira,2008,164.875
Ndola,2008,164.30769230769232
Chadiza,2008,165.5625
Chasefu,2008,134.30769230769232
Chipangali,2008,147.1290322580645
Chipata,2008,161.1
Kasenengwa,2008,151.4090909090909
Katete,2008,162.3
Lumezi,2008,137.41803278688525
Lundazi,2008,139.8235294117647
Mambwe,2008,144.18309859154928
Nyimba,2008,165.251968503937
Petauke,2008,160.9431818181818
Sinda,2008,163.3030303030303
Vubwi,2008,166.0909090909091
Chembe,2008,162.70833333333334
Chiengi,2008,213.06521739130434
Chifunabuli,2008,172.7027027027027
Chipili,2008,194.20754716981133
Kawambwa,2008,204.9468085106383
Lunga,2008,164.4418604651163
Mansa,2008,171.29347826086956
Milengi,2008,166.02666666666667
Mwansabombwe,2008,201.0
Mwense,2008,190.57692307692307
Nchelenge,2008,207.9387755102041
Samfya,2008,167.85
Chilanga,2008,152.76470588235293
Chirundu,2008,152.3181818181818
Chongwe,2008,157.57142857142858
Kafue,2008,155.68421052631578
Luangwa,2008,156.54166666666666
Lusaka,2008,154.75
Rufunsa,2008,162.44347826086957
Shibuyunji,2008,151.05
Chama,2008,139.83962264150944
Chinsali,2008,158.37179487179486
Isoka,2008,165.01612903225808
Kanchibiya,2008,152.04854368932038
Lavushimanda,2008,148.53757225433526
Mafinga,2008,167.95744680851064
Mpika,2008,141.4271844660194
Nakonde,2008,184.5686274509804
Shiwamg'andu,2008,151.54128440366972
Chavuma,2008,183.9814814814815
Ikelenge,2008,192.58333333333334
Kabompo,2008,168.58823529411765
Kalumbila,2008,180.13375796178343
Kasempa,2008,162.7811320754717
Manyinga,2008,179.96774193548387
Mufumbwe,2008,163.0627802690583
Mushindano,2008,171.82456140350877
Mwinilunga,2008,197.8868778280543
Solwezi,2008,172.87755102040816
Zambezi,2008,176.20118343195267
Chilubi,2008,164.70967741935485
Kaputa,2008,209.19354838709677
Kasama,2008,166.3515625
Lunte District,2008,196.34736842105264
Lupososhi,2008,182.19565217391303
Luwingu,2008,173.17543859649123
Mbala,2008,193.55263157894737
Mporokoso,2008,209.17021276595744
Mpulungu,2008,195.72357723577235
Mungwi,2008,170.18260869565216
Nsama,2008,204.3186813186813
Senga Hill,2008,188.1206896551724
Chikankanta,2008,155.38888888888889
Choma,2008,157.64406779661016
Gwembe,2008,156.91666666666666
Kalomo,2008,154.23
Kazungula,2008,148.71428571428572
