district,corr_lag1,pval_lag1,slope_lag1,r2_lag1,corr_lag2,pval_lag2,slope_lag2,r2_lag2,corr_lag3,pval_lag3,slope_lag3,r2_lag3,corr_lag4,pval_lag4,slope_lag4,r2_lag4,corr_lag5,pval_lag5,slope_lag5,r2_lag5
Kasama,0.15730416874921438,0.5077588360799066,0.07372274147473394,0.024744601505881314,-0.265752714727033,0.2714753747581482,-0.13679770498055868,0.07062450538478778,-0.4501202186311418,0.06087835170879956,-0.2296501660453651,0.20260821122054692,-0.47084501291714403,0.05644092171004947,-0.22618900009297646,0.22169502618894554,-0.5578063141333284,0.024753670499466633,-0.27430872406536666,0.31114788408700944
Kasempa,-0.07976574798414689,0.7381627840376517,-0.019991074423667925,0.006362574551470433,-0.1387400494539261,0.5710886098726247,-0.03434755877936668,0.01924880132247786,-0.14599341470662494,0.5632358359511294,-0.03586911024900718,0.02131407713770057,-0.2649772455022328,0.304028159037668,-0.06303835061374206,0.07021294063395055,-0.2694513628740136,0.31287750825729677,-0.06313256390201444,0.07260403695466336
Katete,0.2890334492553471,0.21647451660319947,0.18457031931829612,0.08354033478844329,0.41768558076996715,0.0751706485034581,0.26217505851265127,0.17446124438314475,0.168690672165716,0.5034097868299132,0.10557246386646166,0.028456542875721073,-0.09607186874768733,0.7137736309432047,-0.059812680114140766,0.009229803964672862,0.08820147325324705,0.7453167358241694,0.05657838078649826,0.007779499884043255
Kawambwa,-0.05947220127946772,0.8033126309378974,-0.028310389535486008,0.003536942725025522,-0.2795682906370198,0.2463839108893172,-0.1547992182050477,0.07815842912970518,-0.04428684692460935,0.8614813294324108,-0.023832645912714442,0.001961324810523781,-0.41190517540841465,0.10041263092812033,-0.21121156034070615,0.16966587352823684,-0.22484990718277797,0.4024563889234464,-0.11647721137904328,0.05055748076010387
Kazungula,-0.11588834877448878,0.6265827168845393,-0.009924658934973551,0.013430109381677555,-0.20248368715665016,0.40577600125363167,-0.017617225291512405,0.04099964356455217,-0.1996399575025194,0.42705691336050466,-0.015255360032443571,0.03985611263160775,-0.42667742192474856,0.08763420542607477,-0.02830488605899647,0.1820536223803499,-0.3920842617387046,0.13309091612855548,-0.021674471554217548,0.153730068303185
Kitwe,0.2080021635697473,0.3788594729769229,0.8849623335455697,0.04326490004969591,0.0013327767503673125,0.9956794703866423,0.005636298110447856,1.7762938663196535e-06,0.024503467105910805,0.9231156527456081,0.10296268692744853,0.0006004199002104529,-0.15781518735827896,0.5452211859410256,-0.6531515524241892,0.02490563336092869,-0.24751436561956422,0.35536017169260525,-1.0271433523342324,0.06126336118805532
Livingstone,-0.058431519500730354,0.8066914867091309,-0.01126012455019869,0.003414242471164232,-0.2705157939080748,0.26265180621160794,-0.05171109807907282,0.073178794753716,-0.23766384760290174,0.3422967392560463,-0.04417504385744656,0.0564841044574153,-0.44245887658604344,0.07532664510092033,-0.08088370305490897,0.19576985746978362,-0.4128099619857889,0.11203154464726248,-0.074051643697292,0.1704120647147085
Luangwa,0.40825126358432123,0.07393789198333132,0.16031079154195244,0.16666909421819492,-0.11424468415637193,0.6414277564875026,-0.01666564603536184,0.01305184785798918,-0.28916763012426794,0.2444914341570579,-0.0419508981015597,0.08361791831168543,0.07034127727828912,0.78849517132842,0.01001766581556604,0.004947895289141154,-0.02991910905862659,0.9124155795780337,-0.004198325920578188,0.0008951530868619917
Luanshya,0.11284959707562911,0.6357132308342077,0.35327325753821526,0.012735031560131838,-0.09836027383494945,0.6887076968542154,-0.3089118864923504,0.009674743468886242,-0.07464015473004637,0.7684922452779498,-0.23364169962991513,0.0055711526981252635,-0.1830148198921198,0.4820020194318698,-0.5643613106979378,0.03349442430014504,-0.23230604606313549,0.3866099308931913,-0.7138958509827394,0.05396609903748763
Lufwanyama,0.05458951917026093,0.8191937299448065,0.03800930883884747,0.0029800156032402858,0.013127555896629103,0.9574618794618684,0.00895053508065684,0.00017233272381912153,-0.028246384739700252,0.9114123124532559,-0.019104229136897723,0.0007978582508631713,-0.26829319143616465,0.29778829331928064,-0.17450261808689405,0.07198123657100249,-0.5083680017109514,0.04435695667698001,-0.3198062247328088,0.2584380251635859
Lukulu,-0.2854211122993358,0.2225305365018924,-0.11515706590909129,0.08146521134619006,-0.1663439858670123,0.4961132719175194,-0.0653866038715732,0.027670321634124785,0.034103253131171934,0.8931346990167465,0.013444615707884622,0.0011630318741287884,0.01708126996666371,0.9481201826806366,0.0068488282961050246,0.0002917697836740477,0.10774490870266493,0.6912353576076602,0.04324117804183962,0.0116089653513456
Lundazi,0.07761217044766719,0.7450038990378125,0.026452430226157075,0.006023649001597744,0.3687153594411657,0.12032630839478378,0.1344854001506862,0.135951016287828,-0.03937893084700875,0.8767143140381857,-0.014971089282444745,0.001550700194653497,0.43422847600759534,0.08157653294955748,0.1651943318992224,0.1885543693758788,0.32907423696655763,0.21329868495491827,0.1351765132124857,0.10828985343512212
Lusaka,-0.43913971864490664,0.05272546685523804,-0.584955254923338,0.19284369249152777,-0.32068262696791455,0.18069985185587426,-0.4492064476655174,0.10283734723904264,-0.3979880143751762,0.10190313213955182,-0.558006684293901,0.15839445958629547,-0.1565545302792575,0.5484775086569144,-0.21743470482670915,0.024509320950958955,-0.005781375965731249,0.9830465708077164,-0.00798289895185127,3.3424308057134933e-05
Luwingu,0.19757611179212484,0.4037340634071921,0.08782014223645367,0.03903631995089421,-0.4130379080884705,0.07881138528729445,-0.2085524343113994,0.17060031351809982,-0.18404085918926788,0.4647524648128798,-0.09211152059102948,0.03387103785112393,-0.5451754046119438,0.023618524008575413,-0.25666922488668986,0.29721622179379664,-0.4182023909947951,0.10695932239426256,-0.20799297711120962,0.17489323983376348
Mambwe,-0.18801235940850317,0.4273150250416602,-0.04607187502617937,0.03534864729035217,-0.19838089221148844,0.41555526182941094,-0.04730001241110934,0.0393549783946262,-0.32201407176468266,0.19252347188048333,-0.07569241751252823,0.1036930624144702,-0.4156052502147812,0.09709434261659844,-0.0960961617370265,0.17272772400609088,-0.27405398842916806,0.30435927830655013,-0.0675588389190753,0.07510558857393458
Mansa,-0.13374144508196398,0.5740250685194769,-0.12371502123336824,0.017886774132611985,-0.5360650470049892,0.017988072018030505,-0.5096008269629412,0.28736573462046133,-0.3338692017384083,0.17572597542713728,-0.311858765729789,0.11146864386944197,-0.5007147595729726,0.040635171993131575,-0.45100761298613934,0.25071527045421976,-0.4483711763999359,0.08153141745810581,-0.42199396804239936,0.20103671182626243
Masaiti,0.01975600888664204,0.9341137375019071,0.04234455436716384,0.0003902998871290792,-0.18282658945357116,0.4537550165519333,-0.3914144390785203,0.033425561811224656,-0.12413488223374895,0.623599270628229,-0.26045972381367233,0.015409468987186722,-0.26863924066690975,0.2971415572718173,-0.5482141040346933,0.07216704162609386,-0.43256021771193875,0.09424553277849528,-0.8566210908519846,0.18710834194699985
Mazabuka,-0.4020306084769158,0.07888645224378203,-0.11834556119452985,0.16162861015231916,-0.2875218201954322,0.23263260405696234,-0.08303895260518043,0.08266879708849445,-0.2110998620761552,0.40042632972193615,-0.06202258862576192,0.04456315176857174,-0.11887688113072616,0.6495228054732627,-0.03445469535887914,0.014131712867368796,0.11838231436855925,0.6623588824380766,0.03461016827576511,0.014014372355256391
Mbala,0.5961500619783511,0.005535303579716374,0.31277481238777904,0.35539489639679184,0.40752142135317965,0.08329982495087677,0.25517269507246143,0.1660737088617158,0.22024253857039702,0.37984455708978615,0.1493199414915187,0.04850677579593282,0.05913595839010374,0.8216306135235343,0.038401161863971724,0.0034970615747160812,-0.06121572470387259,0.8218156486122854,-0.038520838237633755,0.003747364951020317
Mkushi,-0.42155837952635705,0.06413442309518626,-0.2432105071055808,0.1777114673488881,-0.35485598124441664,0.13601719666495884,-0.20094583791872458,0.12592276742493777,-0.30908378260322006,0.21202138392027592,-0.1691327696386854,0.0955327846683146,-0.29365928391413865,0.2526188222591267,-0.15325801238208608,0.08623577502896469,-0.2588107880572332,0.33309695561858366,-0.13174339370298857,0.06698302401480608
Mongu,-0.22454419295346778,0.3412170973924432,-0.09438427577941635,0.05042009458912417,-0.33647829185387385,0.1589614948616775,-0.13906714092002495,0.11321764088890071,-0.3438928962194347,0.1623164429086032,-0.1412061381905791,0.11826232407019088,-0.4098204183714882,0.10231751147402622,-0.17055598696444477,0.16795277531418162,-0.4058618809108587,0.11881207235307245,-0.16594478111665298,0.16472386637650002
Monze,0.06622302333256716,0.7814782227790404,0.02278095134984664,0.004385488819305734,0.21935507081703715,0.3669006037305427,0.07564562267857912,0.048116647093147384,0.2159712439144287,0.3893858161210403,0.07549978417812453,0.04664357819794566,0.04376469694705772,0.8675425536492118,0.015232356569964082,0.0019153486988678036,0.14628970118234585,0.588773006077355,0.05139229123912583,0.02140067667202004
Mpika,-0.4220052643794564,0.06382315048972566,-0.0894452565359398,0.1780884431639749,-0.4351487500161771,0.06259831519715664,-0.08885006672180086,0.1893544346406414,-0.4459193395353092,0.06362913333135939,-0.08840855757261032,0.19884405737160638,-0.43863791471363733,0.07818305127668153,-0.08085553853038441,0.19240322022432818,-0.2189655748517612,0.41520215139338634,-0.041373783798191004,0.047945922970162244
Mpongwe,0.1357294184916369,0.5682930770894935,0.14432459395568192,0.0184224750440779,-0.0022723632930623417,0.9926336276819572,-0.002382979187427434,5.16363493565713e-06,0.031938399621767706,0.8998850961648162,0.03256880067144447,0.0010200613703997316,-0.16776349313057548,0.5198308880310171,-0.16537581249491887,0.028144589627372648,-0.4130027121001073,0.1118473934172324,-0.3942033883269516,0.17057124020204412
Mporokoso,0.3269906316033787,0.1593610281068225,0.16363928811658945,0.10692287315637654,0.11768841938971951,0.6313420194685702,0.06767315237407032,0.013850564058450508,0.14286078642676292,0.5717284550464289,0.08096655101720891,0.02040920429847317,0.03416691911981564,0.8964235885775065,0.01860113249179296,0.0011673783621400236,0.074495543647555,0.783937811516104,0.04178344538452713,0.005549586023344771
Mpulungu,0.6231227373082111,0.0033350008521990985,0.13749318031619548,0.38828194575047786,0.564731499402724,0.011762565194764277,0.15351243685458146,0.3189216664176489,0.42236920500465713,0.08079284016216329,0.12177441577044772,0.1783957453362661,0.3962531955202033,0.11534648937253708,0.11153633297579582,0.1570165949599725,0.13909110205324574,0.607432156206636,0.03864824707636962,0.01934633467038642
